ID,education,marital_status,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,age,household_members,total_amount,total_purchase,median_amount_purchase,total_cmp,total_%_cmp,segmento
1640,Graduation,Divorced,64587.0,1,1,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,0,61,3,108,8,13.5,0,0.0,0
977,Graduation,Together,47320.0,0,1,10,200,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,0,0,58,3,414,20,20.7,0,0.0,0
10150,Graduation,Single,86429.0,0,0,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,0,1,54,1,1449,18,80.5,1,0.16666666666666666,1
8181,2n Cycle,Single,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,37,2,177,11,16.09090909090909,0,0.0,0
1399,Graduation,Married,72905.0,0,0,52,407,114,445,181,165,203,1,3,7,9,1,0,0,0,1,0,0,0,57,2,1515,20,75.75,1,0.16666666666666666,1
9291,Master,Married,34242.0,0,1,25,8,2,4,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,56,3,15,4,3.75,0,0.0,0
4507,Graduation,Single,72228.0,0,0,87,631,28,491,30,14,56,1,6,7,8,3,0,0,0,0,0,0,0,63,1,1250,22,56.81818181818182,0,0.0,1
3749,Graduation,Together,73926.0,0,0,54,627,91,597,159,91,15,1,6,5,12,3,0,0,0,0,0,0,0,42,2,1580,24,65.83333333333333,0,0.0,1
4198,Graduation,Together,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,50,4,25,4,6.25,0,0.0,0
8372,Graduation,Married,34421.0,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,41,3,30,4,7.5,0,0.0,0
1176,Graduation,Married,26228.0,1,0,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,42,3,25,4,6.25,0,0.0,0
6729,Graduation,Single,68655.0,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,27,1,1538,21,73.23809523809524,0,0.0,1
2308,Graduation,Married,46734.0,0,1,40,110,5,137,26,23,29,2,6,1,5,7,0,0,0,0,0,0,0,61,3,330,14,23.571428571428573,0,0.0,0
8910,Graduation,Together,42586.0,1,1,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,0,1,60,4,252,16,15.75,0,0.0,0
5289,2n Cycle,Single,41658.0,1,1,30,8,4,12,15,4,29,2,1,1,2,4,0,0,0,0,0,0,0,40,3,72,6,12.0,0,0.0,0
11188,Graduation,Together,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,58,4,89,9,9.88888888888889,0,0.0,0
10704,Graduation,Single,54803.0,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,46,2,693,19,36.473684210526315,0,0.0,1
7476,Master,Single,63972.0,0,1,93,928,63,254,0,12,12,4,5,4,10,4,0,1,0,0,0,0,0,51,2,1269,23,55.17391304347826,1,0.16666666666666666,1
5493,Graduation,Married,39356.0,1,1,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,0,0,39,4,23,4,5.75,1,0.16666666666666666,0
9400,2n Cycle,Single,85485.0,0,0,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,57,1,1383,19,72.78947368421052,0,0.0,1
2814,Master,Together,30560.0,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,39,3,31,5,6.2,0,0.0,0
7899,PhD,Married,77610.0,0,1,70,1245,33,332,21,33,16,2,4,7,4,7,0,0,0,0,0,0,0,63,3,1680,17,98.82352941176471,0,0.0,1
5123,Master,Married,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,64,2,143,7,20.428571428571427,0,0.0,0
3878,2n Cycle,Single,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,35,2,48,5,9.6,0,0.0,0
11031,PhD,Married,48699.0,1,1,90,26,1,10,2,0,1,1,1,0,3,5,0,0,0,0,0,0,0,65,4,40,5,8.0,0,0.0,0
6905,Graduation,Together,80685.0,0,0,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,0,21,2,1004,21,47.80952380952381,0,0.0,1
6357,2n Cycle,Divorced,59052.0,0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,56,2,491,18,27.27777777777778,0,0.0,0
1071,PhD,Divorced,70179.0,0,1,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,0,39,2,1034,26,39.76923076923077,0,0.0,1
6866,Master,Together,35924.0,1,1,56,8,0,14,2,3,7,1,1,0,3,5,0,0,0,0,0,0,0,46,4,34,5,6.8,0,0.0,0
2350,Graduation,Married,59666.0,1,1,87,623,53,178,23,17,133,7,3,2,8,8,0,1,0,0,0,0,0,43,4,1027,20,51.35,1,0.16666666666666666,1
5558,PhD,Single,90933.0,0,0,90,1020,31,430,62,63,79,1,4,6,4,1,0,0,1,0,0,0,0,61,1,1685,15,112.33333333333333,1,0.16666666666666666,1
113,Graduation,Married,30833.0,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,64,4,28,6,4.666666666666667,0,0.0,0
3478,PhD,Married,60585.0,1,1,17,267,42,309,55,42,21,10,7,4,9,5,0,0,0,0,0,0,1,44,4,736,30,24.533333333333335,0,0.0,1
4023,Graduation,Married,22979.0,1,0,29,16,17,19,20,21,22,3,3,2,2,8,0,0,0,0,0,0,1,45,3,115,10,11.5,0,0.0,0
1627,2n Cycle,Divorced,77297.0,0,0,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,0,58,1,789,22,35.86363636363637,1,0.16666666666666666,1
6862,Graduation,Divorced,7500.0,0,0,65,1,1,3,1,1,1,13,0,0,1,12,0,0,0,0,0,0,0,44,1,8,14,0.5714285714285714,0,0.0,0
833,Master,Married,38452.0,1,1,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,60,4,72,9,8.0,0,0.0,0
6245,PhD,Together,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,65,3,507,18,28.166666666666668,0,0.0,1
798,Graduation,Single,23442.0,1,0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,28,2,27,5,5.4,0,0.0,0
5756,Graduation,Together,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,32,3,55,7,7.857142857142857,0,0.0,0
5424,Graduation,Married,39922.0,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,32,3,156,9,17.333333333333332,0,0.0,0
